"page_id","wikitext_length_bytes","template_count","image_count","reference_count","heading_count","internal_link_count","external_link_count","category_count","table_tag_count","paragraph_tag_count","rendered_html_length_bytes","render_expansion_ratio","html_tag_count","avg_response_time","is_slow"
1154678,82588,784,0,0,10,387,0,0,0,9,34451,0.41714292633312344,3138,515.51,1
1154679,87331,833,0,0,14,409,0,0,0,15,36324,0.41593477688335184,3334,295.56333333333333,1
1154680,85405,825,0,0,11,405,0,0,0,12,35588,0.4166969147005445,3296,336.32,1
1154682,78059,751,0,0,7,371,0,0,0,7,32563,0.4171588157675604,3004,490.31,1
1154683,33535,308,0,0,4,151,0,0,0,4,15160,0.4520650067094081,1232,104.13,0
1154684,23318,217,0,0,5,105,0,0,0,5,11453,0.49116562312376705,866,70.79666666666667,0
1154685,41835,382,0,0,1,189,0,0,0,2,17993,0.4300944185490618,1526,161.91,0
1154686,29464,276,0,0,5,135,0,0,0,6,13688,0.4645669291338583,1106,96.22,0
1154687,48679,442,0,0,4,218,0,0,0,4,20730,0.42585098297006924,1768,428.3833333333333,1
1154688,20369,188,0,0,2,92,0,0,0,2,10346,0.5079287152044774,750,97.55333333333333,0
1154689,41195,387,0,0,5,190,0,0,0,6,17869,0.43376623376623374,1548,148.69,0
1154690,20495,193,0,0,2,94,0,0,0,3,10292,0.5021712612832399,770,92.65666666666667,0
1154706,30756,284,0,0,3,139,0,0,0,4,13991,0.4549031083365847,1134,107.12,0
1154707,30575,287,0,0,5,140,0,0,0,5,14135,0.4623058053965658,1146,363.15666666666664,1
1154708,35208,341,0,0,3,168,0,0,0,3,16380,0.4652351738241309,1364,167.20666666666668,0
1154709,37030,362,0,0,4,178,0,0,0,4,16985,0.4586821496084256,1448,156.89333333333335,0
1154710,31353,305,0,0,4,150,0,0,0,4,14980,0.47778521991515965,1222,104.01666666666667,0
1154711,21460,206,0,0,2,101,0,0,0,2,11037,0.5143056849953401,824,76.61,0
1154712,35811,344,0,0,7,168,0,0,0,7,16598,0.46348887213426043,1378,121.16333333333333,0
1154713,68758,664,0,0,5,329,0,0,0,6,28741,0.41800226882690017,2654,473.7833333333333,1
1154796,23348,18,0,6,6,52,10,1,2,20,10685,0.45764091142710295,1020,88.59666666666666,0
1154829,3075,4,0,2,2,8,3,1,0,8,2583,0.84,44,4.293333333333333,0
1154973,2689,12,0,2,2,24,3,6,0,7,2166,0.8055039047973225,98,5.6033333333333335,0
1154975,18170,176,0,0,2,86,0,0,0,2,9821,0.540506329113924,704,39.263333333333335,0
1154977,25188,233,0,0,4,113,0,0,0,5,12294,0.48808956646021917,930,89.06333333333333,0
1154978,44758,404,0,0,7,197,0,0,0,8,19503,0.43574333080119754,1614,136.92333333333335,0
1154979,36161,334,0,0,11,160,0,0,0,12,16612,0.45938995049915654,1334,100.72666666666667,0
1154980,36273,351,0,0,5,172,0,0,0,5,16725,0.46108675874617483,1404,468.78333333333336,1
1154981,66607,636,0,0,6,314,0,0,0,6,28258,0.4242497034846187,2544,231.41666666666666,1
1154982,58196,570,0,0,12,278,0,0,0,13,25064,0.43068252113547323,2280,199.14666666666668,0
1154991,81519,841,0,0,8,416,0,0,0,7,35995,0.4415535028643629,3364,494.45666666666665,1
1154992,68657,659,0,0,5,326,0,0,0,5,28899,0.4209184788149788,2636,234.50666666666666,1
1154993,70069,668,0,0,4,331,0,0,0,5,29502,0.4210421156288801,2672,273.05,1
1154994,61307,594,0,0,8,292,0,0,0,8,26224,0.42774887043893844,2376,529.34,1
1155000,21181,206,0,0,1,101,0,0,0,2,10935,0.5162645767433077,822,64.52333333333334,0
1155001,27096,250,0,0,2,123,0,0,0,2,12638,0.4664157071154414,1000,73.04666666666667,0
1155002,14826,138,0,0,2,67,0,0,0,2,8330,0.5618508026440038,552,63.25666666666667,0
1155003,78226,760,0,0,6,376,0,0,0,6,32296,0.41285506097716873,3040,238.95,1
1155004,58182,561,0,0,5,277,0,0,0,5,24962,0.4290330342717679,2244,494.63,1
1155005,83161,796,0,0,10,394,1,0,0,8,34800,0.41846538641911474,3188,299.22,1
1155006,106529,1011,0,0,12,499,0,0,0,12,43451,0.4078795445371683,4046,668.9200000000001,1
1155015,85441,816,0,0,4,405,0,0,0,4,35217,0.41217916456970305,3264,269.0433333333333,1
1155016,77778,740,0,0,2,368,0,0,0,3,32433,0.4169945228727918,2960,528.88,1
1155017,66364,638,0,0,8,314,0,0,0,9,28269,0.4259688988005545,2552,240.49333333333334,1
1155018,59742,570,0,0,10,279,0,0,0,10,25851,0.4327106558200261,2280,226.64000000000001,1
1155019,48794,473,0,0,2,233,0,0,0,3,21315,0.4368364962905275,1888,172.2,0
1155020,64349,615,0,0,5,304,0,0,0,5,27772,0.4315840183996643,2460,426.2,1
1155021,68293,647,0,0,5,320,0,0,0,7,28946,0.42385017498133043,2588,224.58666666666667,1
1155022,95870,915,0,0,4,455,0,0,0,4,39314,0.41007614477938875,3662,610.8933333333334,1
1155023,70116,669,0,0,2,332,0,0,0,3,29455,0.42008956586228535,2672,297.64,1
1155024,60202,576,0,0,6,284,0,0,0,6,25787,0.42834125112122523,2304,226.15,1
1155035,20583,199,0,0,10,93,0,0,0,11,10713,0.5204780644220959,794,47.07333333333333,0
1155036,44252,413,0,0,4,203,0,0,0,5,18879,0.4266247853204375,1650,390.3566666666667,1
