page_id,run_number,response_time_ms,status_code,success,error
2876,3,6.99,200,1,
2949,1,80.19,200,1,
2949,2,191.03,200,1,
2949,3,98.14,200,1,
2953,1,17.01,200,1,
2953,2,17.02,200,1,
2953,3,60.62,200,1,
2963,1,17.98,200,1,
2963,2,14.86,200,1,
2963,3,58.46,200,1,
2964,1,201.94,200,1,
2964,2,221.57,200,1,
2964,3,209.24,200,1,
2990,1,4.32,200,1,
2990,2,4.78,200,1,
2990,3,4.09,200,1,
3023,1,196.89,200,1,
3023,2,198.28,200,1,
3023,3,268.53,200,1,
3038,1,99.45,200,1,
3038,2,95.35,200,1,
3038,3,92.4,200,1,
3045,1,117.52,200,1,
3045,2,132.35,200,1,
3045,3,165.45,200,1,
3075,1,513.29,200,1,
3075,2,576.49,200,1,
3075,3,526.63,200,1,
3077,1,377.48,200,1,
3077,2,318.76,200,1,
3077,3,379.49,200,1,
3106,1,309.89,200,1,
3106,2,319.28,200,1,
3106,3,391.77,200,1,
3110,1,13.39,200,1,
3110,2,13.32,200,1,
3110,3,52.73,200,1,
3259,1,96.32,200,1,
3259,2,46.98,200,1,
3259,3,91.54,200,1,
3287,1,5.04,200,1,
3287,2,5.35,200,1,
3287,3,5.25,200,1,
3316,1,40.58,200,1,
3316,2,4.02,200,1,
3316,3,4.41,200,1,
3358,1,6.43,200,1,
3358,2,6.29,200,1,
3358,3,5.88,200,1,
3375,1,4.24,200,1,
3375,2,4.59,200,1,
3375,3,4.04,200,1,
3427,1,288.25,200,1,
3427,2,395.76,200,1,
3427,3,308.03,200,1,
3447,1,94.38,200,1,
3447,2,103.82,200,1,
3447,3,95.35,200,1,
3460,1,99.4,200,1,
3460,2,92.19,200,1,
3460,3,91.13,200,1,
3478,1,5.04,200,1,
3478,2,5.2,200,1,
3478,3,4.65,200,1,
3511,1,4.91,200,1,
3511,2,5.13,200,1,
3511,3,5.47,200,1,
3581,1,79.65,200,1,
3581,2,98.23,200,1,
3581,3,114.11,200,1,
3600,1,99.21,200,1,
3600,2,112.16,200,1,
3600,3,81.63,200,1,
3611,1,6.43,200,1,
3611,2,5.83,200,1,
3611,3,5.92,200,1,
3707,1,79.89,200,1,
3707,2,97.7,200,1,
3707,3,106.08,200,1,
3730,1,5.85,200,1,
3730,2,5.85,200,1,
3730,3,7.63,200,1,
3741,1,7.83,200,1,
3741,2,7.62,200,1,
3741,3,6.72,200,1,
3762,1,54.22,200,1,
3762,2,25.08,200,1,
3762,3,82.41,200,1,
3796,1,279.45,200,1,
3796,2,289.72,200,1,
3796,3,317.55,200,1,
3809,1,18.93,200,1,
3809,2,17.26,200,1,
3809,3,52.89,200,1,
3858,1,5.19,200,1,
3858,2,5.25,200,1,
3858,3,5.98,200,1,
3900,1,5.09,200,1,
3900,2,4.4,200,1,
3900,3,5.81,200,1,
3955,1,273.6,200,1,
3955,2,139.73,200,1,
3955,3,270.26,200,1,
3958,1,202.44,200,1,
3958,2,117.02,200,1,
3958,3,110.68,200,1,
3959,1,258.26,200,1,
3959,2,138.82,200,1,
3959,3,179.81,200,1,
3963,1,110.85,200,1,
3963,2,207.49,200,1,
3963,3,174.44,200,1,
3965,1,401.87,200,1,
3965,2,399.23,200,1,
3965,3,486.93,200,1,
3983,1,8.36,200,1,
3983,2,7.26,200,1,
3983,3,7.19,200,1,
4022,1,206.49,200,1,
4022,2,301.59,200,1,
4022,3,277.83,200,1,
4033,1,6.35,200,1,
4033,2,5.2,200,1,
4033,3,6.2,200,1,
4053,1,8.52,200,1,
4053,2,7.63,200,1,
4053,3,6.78,200,1,
4376,1,159.01,200,1,
4376,2,223.49,200,1,
4376,3,176.37,200,1,
4391,1,190.84,200,1,
4391,2,205.13,200,1,
4391,3,303.16,200,1,
4406,1,109.8,200,1,
4406,2,98.66,200,1,
4406,3,108.13,200,1,
4428,1,1777.53,200,1,
4428,2,1589.71,200,1,
4428,3,1606.39,200,1,
4455,1,41.59,200,1,
4455,2,98.39,200,1,
4455,3,90.57,200,1,
4469,1,107.13,200,1,
4469,2,159.81,200,1,
4469,3,104.19,200,1,
4536,1,102.67,200,1,
4536,2,98.34,200,1,
4536,3,191.77,200,1,
4546,1,300.11,200,1,
